,train,test
486,tensor(3.9150),tensor(6.8963)
487,tensor(3.9196),tensor(6.8962)
488,tensor(3.9272),tensor(6.8962)
489,tensor(3.9270),tensor(6.8962)
490,tensor(3.9193),tensor(6.8961)
491,tensor(3.9359),tensor(6.8961)
492,tensor(3.9326),tensor(6.8961)
493,tensor(3.9218),tensor(6.8961)
494,tensor(3.9255),tensor(6.8961)
495,tensor(3.9202),tensor(6.8962)
496,tensor(3.9314),tensor(6.8962)
497,tensor(3.9347),tensor(6.8962)
498,tensor(3.9221),tensor(6.8962)
499,tensor(3.9188),tensor(6.8962)
500,tensor(3.9179),tensor(6.8962)
501,tensor(3.9037),tensor(6.8960)
502,tensor(3.9297),tensor(6.8960)
503,tensor(3.9226),tensor(6.8960)
504,tensor(3.9205),tensor(6.8960)
505,tensor(3.9211),tensor(6.8959)
506,tensor(3.9251),tensor(6.8960)
507,tensor(3.9213),tensor(6.8960)
508,tensor(3.9143),tensor(6.8959)
509,tensor(3.9290),tensor(6.8959)
510,tensor(3.9259),tensor(6.8959)
511,tensor(3.9326),tensor(6.8959)
512,tensor(3.9130),tensor(6.8958)
513,tensor(3.9222),tensor(6.8958)
514,tensor(3.9279),tensor(6.8957)
515,tensor(3.9438),tensor(6.8957)
516,tensor(3.9042),tensor(6.8957)
517,tensor(3.9293),tensor(6.8957)
518,tensor(3.9225),tensor(6.8957)
519,tensor(3.9477),tensor(6.8958)
520,tensor(3.9244),tensor(6.8957)
521,tensor(3.9301),tensor(6.8956)
522,tensor(3.9068),tensor(6.8956)
523,tensor(3.9222),tensor(6.8955)
524,tensor(3.9424),tensor(6.8955)
525,tensor(3.9277),tensor(6.8955)
526,tensor(3.9124),tensor(6.8955)
527,tensor(3.9065),tensor(6.8954)
528,tensor(3.9282),tensor(6.8953)
529,tensor(3.9226),tensor(6.8954)
530,tensor(3.9248),tensor(6.8953)
531,tensor(3.9352),tensor(6.8953)
532,tensor(3.9296),tensor(6.8953)
533,tensor(3.9219),tensor(6.8954)
534,tensor(3.9208),tensor(6.8954)
535,tensor(3.9164),tensor(6.8953)
536,tensor(3.9188),tensor(6.8953)
537,tensor(3.9289),tensor(6.8953)
538,tensor(3.9285),tensor(6.8952)
539,tensor(3.9222),tensor(6.8952)
540,tensor(3.9528),tensor(6.8954)
541,tensor(3.9140),tensor(6.8953)
542,tensor(3.9261),tensor(6.8953)
543,tensor(3.9233),tensor(6.8953)
544,tensor(3.9211),tensor(6.8952)
545,tensor(3.9357),tensor(6.8952)
546,tensor(3.9263),tensor(6.8953)
547,tensor(3.9298),tensor(6.8953)
548,tensor(3.9327),tensor(6.8953)
549,tensor(3.9272),tensor(6.8954)
550,tensor(3.9332),tensor(6.8953)
551,tensor(3.9189),tensor(6.8953)
552,tensor(3.9247),tensor(6.8954)
553,tensor(3.9277),tensor(6.8954)
554,tensor(3.9213),tensor(6.8954)
555,tensor(3.9226),tensor(6.8954)
556,tensor(3.9114),tensor(6.8954)
557,tensor(3.9180),tensor(6.8953)
558,tensor(3.9156),tensor(6.8953)
559,tensor(3.9266),tensor(6.8954)
560,tensor(3.9430),tensor(6.8954)
561,tensor(3.9237),tensor(6.8955)
562,tensor(3.9139),tensor(6.8955)
563,tensor(3.9110),tensor(6.8955)
564,tensor(3.9172),tensor(6.8954)
565,tensor(3.9271),tensor(6.8953)
566,tensor(3.9299),tensor(6.8954)
567,tensor(3.9248),tensor(6.8954)
568,tensor(3.9273),tensor(6.8954)
569,tensor(3.9251),tensor(6.8954)
570,tensor(3.9163),tensor(6.8954)
571,tensor(3.9288),tensor(6.8953)
572,tensor(3.9261),tensor(6.8954)
573,tensor(3.9400),tensor(6.8955)
574,tensor(3.9327),tensor(6.8954)
575,tensor(3.9252),tensor(6.8955)
576,tensor(3.9267),tensor(6.8955)
577,tensor(3.9184),tensor(6.8954)
578,tensor(3.9263),tensor(6.8954)
579,tensor(3.9086),tensor(6.8954)
580,tensor(3.9157),tensor(6.8954)
581,tensor(3.9370),tensor(6.8954)
582,tensor(3.9149),tensor(6.8953)
583,tensor(3.9270),tensor(6.8953)
584,tensor(3.9313),tensor(6.8952)
585,tensor(3.9083),tensor(6.8951)
586,tensor(3.9232),tensor(6.8951)
587,tensor(3.9340),tensor(6.8951)
588,tensor(3.9216),tensor(6.8951)
589,tensor(3.9273),tensor(6.8951)
590,tensor(3.9218),tensor(6.8951)
591,tensor(3.9140),tensor(6.8952)
592,tensor(3.9141),tensor(6.8952)
593,tensor(3.9344),tensor(6.8953)
594,tensor(3.9135),tensor(6.8953)
595,tensor(3.9278),tensor(6.8953)
596,tensor(3.9156),tensor(6.8952)
597,tensor(3.9197),tensor(6.8952)
598,tensor(3.9060),tensor(6.8951)
599,tensor(3.9288),tensor(6.8951)
600,tensor(3.9184),tensor(6.8952)
601,tensor(3.9205),tensor(6.8952)
602,tensor(3.9355),tensor(6.8952)
603,tensor(3.9217),tensor(6.8951)
604,tensor(3.9160),tensor(6.8951)
605,tensor(3.9289),tensor(6.8951)
606,tensor(3.9085),tensor(6.8951)
607,tensor(3.9098),tensor(6.8950)
608,tensor(3.9188),tensor(6.8950)
609,tensor(3.9262),tensor(6.8950)
610,tensor(3.9286),tensor(6.8950)
611,tensor(3.9229),tensor(6.8949)
612,tensor(3.9199),tensor(6.8948)
613,tensor(3.9207),tensor(6.8948)
614,tensor(3.9127),tensor(6.8948)
615,tensor(3.9133),tensor(6.8948)
616,tensor(3.9172),tensor(6.8948)
617,tensor(3.9128),tensor(6.8949)
618,tensor(3.9297),tensor(6.8949)
619,tensor(3.9309),tensor(6.8949)
620,tensor(3.9241),tensor(6.8948)
621,tensor(3.9306),tensor(6.8949)
622,tensor(3.9240),tensor(6.8949)
623,tensor(3.9362),tensor(6.8949)
624,tensor(3.9305),tensor(6.8950)
625,tensor(3.9278),tensor(6.8949)
626,tensor(3.9242),tensor(6.8949)
627,tensor(3.9353),tensor(6.8949)
628,tensor(3.9172),tensor(6.8950)
629,tensor(3.9195),tensor(6.8950)
630,tensor(3.9108),tensor(6.8950)
631,tensor(3.9058),tensor(6.8950)
632,tensor(3.9224),tensor(6.8949)
633,tensor(3.9081),tensor(6.8949)
634,tensor(3.9169),tensor(6.8949)
635,tensor(3.9242),tensor(6.8949)
636,tensor(3.9144),tensor(6.8949)
637,tensor(3.9143),tensor(6.8948)
638,tensor(3.9400),tensor(6.8949)
639,tensor(3.9240),tensor(6.8949)
